A549AMG0.1rep1.htseq	A549AMG0.1rep2.htseq	A549AMG0.1rep3.htseq	A549AMG0.1rep4.htseq	A549DMSOrep1.htseq	A549DMSOrep2.htseq	A549DMSOrep3.htseq	A549DMSOrep4.htseq
TP73	4	5	4	1	1	4	1	8
TP73-AS1	105	177	205	149	44	162	155	179
TPBG	456	619	768	763	168	371	558	601
TPBGL	6	9	3	14	2	1	2	5
TPCN1	1629	2329	3025	2569	342	1005	1218	1601
TPCN2	175	266	324	266	54	157	204	246
TPD52	179	290	391	280	149	443	470	622
TPD52L1	590	751	1104	907	185	472	623	778
TPD52L2	2434	2948	4351	3600	749	1947	2421	3001
TPD52L3	0	0	0	0	0	0	1	0
TPGS1	254	314	433	442	155	166	236	252
TPGS2	1212	1419	1799	1527	497	1319	1541	1814
TPH1	0	0	0	0	0	0	0	0
TPH2	0	0	0	0	0	0	0	0
TPI1	11421	14879	17547	16118	5816	13857	17102	21468
TPI1P2	6	24	11	22	9	15	13	17
TPI1P3	16	26	36	34	16	13	46	56
TPK1	12	10	14	20	1	7	8	7
TPM1	6120	7699	9675	7863	4250	9155	11454	14735
TPM2	9414	12803	15156	16077	6074	8544	11179	13822
TPM3	2969	3679	5290	3806	1873	4380	5225	6580
TPM3P9	114	131	148	134	57	139	166	197
TPM4	4415	5696	7477	5459	2358	5692	6854	9068
TPMT	128	182	182	175	53	89	154	191
TPO	0	0	0	0	0	0	0	0
TPP1	1786	2290	3125	2552	517	1466	1670	2102
TPP2	102	127	182	136	62	131	143	213
TPPP	83	110	172	118	12	51	79	114
TPPP2	0	0	0	0	0	0	0	0
TPPP3	5	20	14	19	4	4	7	1
TPR	1200	1390	1926	1366	542	1511	1602	2031
TPRA1	1598	2047	3076	2650	307	928	1162	1542
TPRG1	1	0	3	2	0	1	1	0
TPRG1-AS1	0	1	0	3	0	0	0	0
TPRG1-AS2	0	0	0	0	0	0	0	0
TPRG1L	1112	1477	1865	1521	261	793	795	1137
TPRKB	70	76	111	71	51	133	149	182
TPRN	205	316	514	468	159	281	334	452
TPRX1	1	0	0	0	0	0	0	0
TPRXL	0	2	0	3	0	0	0	0
TPSAB1	1	3	4	3	0	0	1	4
TPSB2	1	1	0	1	0	0	1	3
TPSD1	0	0	0	0	0	0	0	0
TPSG1	0	4	1	3	0	0	0	1
TPST1	118	133	272	155	51	130	166	196
TPST2	105	197	278	178	50	102	135	167
TPT1	17671	22708	30863	23641	4256	13501	16583	21452
TPT1-AS1	44	95	96	127	22	28	55	66
TPTE	0	0	0	0	0	0	0	0
TPTE2	0	0	0	0	0	0	0	0
TPTE2P1	1	12	8	11	1	0	4	4
TPTE2P3	0	0	0	0	0	0	0	0
TPTE2P5	7	3	2	5	2	2	3	1
TPTE2P6	5	2	8	1	1	0	1	4
TPTEP1	2	0	0	1	0	1	1	2
TPX2	520	608	855	707	1139	2830	3210	4280
TRA2A	448	513	800	489	146	520	697	962
TRA2B	551	735	911	626	393	1005	1248	1642
TRABD	544	877	1074	1083	303	499	633	847
TRABD2A	164	274	184	270	74	131	156	177
TRABD2B	32	38	64	44	10	22	16	41
TRADD	420	658	783	864	143	296	374	427
TRAF1	160	183	220	183	25	68	88	98
TRAF2	655	876	1174	1105	290	581	727	883
TRAF3	668	909	1202	957	285	765	1067	1133
TRAF3IP1	282	424	477	456	80	275	332	480
TRAF3IP2	478	619	825	517	95	282	376	434
TRAF3IP2-AS1	18	50	45	35	7	22	18	32
TRAF3IP3	1	0	0	0	0	0	0	0
TRAF4	1525	2036	2652	2363	335	784	955	1313
TRAF5	75	75	79	71	31	95	127	149
TRAF6	65	77	126	77	31	117	137	159
TRAF7	1448	2132	2870	2611	526	1444	1732	2278
TRAFD1	359	543	714	608	169	487	625	736
TRAIP	38	50	63	36	74	154	229	274
TRAK1	666	901	1136	878	159	486	576	724
TRAK2	296	337	419	333	84	316	418	499
TRAM1	900	1197	1859	1414	424	1421	1449	1984
TRAM1L1	4	2	6	4	3	0	5	3
TRAM2	755	1046	1202	953	265	961	1057	1440
TRAM2-AS1	36	54	63	33	4	32	22	37
TRANK1	320	390	519	413	45	133	129	173
TRAP1	2528	3328	4272	3864	1334	2800	3659	4414
TRAPPC1	3797	4828	5943	5678	1020	2878	3325	4320
TRAPPC10	202	335	434	334	116	378	419	521
TRAPPC11	85	151	146	122	92	161	163	149
TRAPPC12	782	919	1512	1160	382	715	915	1115
TRAPPC13	28	36	41	34	16	51	36	73
TRAPPC2	121	166	181	146	46	87	107	164
TRAPPC2B	63	70	134	58	20	76	83	102
TRAPPC2L	801	1048	1268	1270	251	654	847	1154
TRAPPC3	783	989	1468	1058	248	855	879	1234
TRAPPC3L	0	0	0	0	0	0	0	0
TRAPPC4	401	554	669	570	160	401	460	586
TRAPPC5	818	965	1473	1264	297	563	702	942
TRAPPC6A	485	636	962	736	150	235	317	378
TRAPPC6B	9	32	37	26	18	33	36	30
TRAPPC8	24	31	32	22	12	50	43	56
TRAPPC9	730	1138	1313	1229	223	551	638	833
TRAT1	0	0	0	0	0	0	0	0
TRDMT1	1	6	9	3	5	5	11	13
TRDN	0	0	0	0	0	0	0	1
TREH	0	0	0	0	0	0	0	0
TREM1	24	21	19	16	1	2	4	2
TREM2	7	3	12	5	0	0	0	0
TREML1	3	0	0	0	0	0	0	0
TREML2	0	0	0	0	0	0	4	5
TREML3P	9	6	6	1	0	1	5	2
TREML4	4	0	0	0	0	0	0	0
TREML5P	0	0	0	0	0	0	0	0
TRERF1	129	206	196	206	53	129	186	277
TRERNA1	0	0	0	0	0	0	0	0
TREX1	103	153	202	181	54	147	181	244
TREX2	5	14	6	6	5	6	13	20
TRG-AS1	0	0	5	0	0	0	0	0
TRH	0	3	0	5	2	3	7	7
TRHDE	0	1	0	0	0	0	0	3
TRHDE-AS1	0	0	6	0	1	1	2	5
TRHR	0	0	0	0	0	0	0	0
TRIAP1	268	366	512	409	131	193	232	303
TRIB1	237	350	376	311	65	198	199	305
TRIB2	18	24	46	43	8	14	23	24
TRIB3	3266	4247	6260	4980	1103	3026	3779	4753
TRIL	0	1	0	2	0	0	0	0
TRIM10	0	0	0	0	0	0	0	0
TRIM11	521	707	846	802	185	421	520	739
TRIM13	30	48	73	52	14	61	62	72
TRIM14	350	367	546	357	124	464	532	566
TRIM15	0	0	0	0	0	0	0	0
TRIM16	4053	5467	6858	5401	1232	4232	5120	6601
TRIM16L	4928	6780	8279	7031	1378	4571	5869	7318
TRIM17	0	1	4	2	0	0	0	2
TRIM2	10	10	18	7	1	16	9	15
TRIM21	337	473	584	445	97	216	312	394
TRIM22	31	59	70	55	11	14	21	17
TRIM23	8	10	25	17	8	50	24	52
TRIM24	250	237	364	203	74	388	323	534
TRIM25	1556	2301	2794	2317	627	1848	2235	2732
TRIM26	32	33	32	40	5	11	17	24
TRIM27	2	3	3	19	1	0	2	9
TRIM28	7351	10536	13289	13180	5347	11030	13981	17540
TRIM29	24	31	44	40	3	5	10	41
TRIM3	395	514	658	752	102	255	312	388
TRIM31	1	6	11	3	0	8	0	1
TRIM31-AS1	0	0	0	0	0	0	0	0
TRIM32	322	438	554	414	118	308	406	494
TRIM33	157	184	228	150	63	205	199	213
TRIM34	5	1	3	1	0	4	5	6
TRIM35	431	650	746	620	121	331	454	485
TRIM36	5	8	5	10	7	10	12	5
TRIM37	219	338	355	276	104	346	391	482
TRIM38	201	288	421	260	43	189	198	218
TRIM39	0	3	3	0	1	0	0	0
TRIM39-RPP21	0	0	0	0	0	0	0	0
TRIM4	335	502	657	505	169	467	521	650
TRIM40	0	0	0	0	0	0	1	0
TRIM41	456	591	833	632	159	456	582	838
TRIM42	0	0	0	0	0	0	0	0
TRIM43	0	0	0	0	0	0	0	0
TRIM43B	0	0	0	0	0	0	0	0
TRIM44	684	955	1164	994	385	969	978	1352
TRIM45	32	61	79	45	9	37	42	54
TRIM46	40	54	66	64	11	18	34	40
TRIM47	1166	1800	2358	2345	475	940	1215	1537
TRIM48	0	0	0	0	0	0	0	0
TRIM49	0	0	0	0	0	0	0	0
TRIM49B	0	0	0	0	0	0	0	0
TRIM49C	0	0	0	0	0	0	0	0
TRIM49D1	0	0	0	0	0	0	0	0
TRIM49D2	0	0	0	0	0	0	0	0
TRIM5	155	326	373	266	68	181	194	360
TRIM50	2	3	4	1	0	1	1	0
TRIM51	0	0	0	0	0	0	0	0
TRIM51HP	0	0	0	0	0	0	0	0
TRIM52	35	54	74	47	8	43	45	85
TRIM52-AS1	111	183	184	196	57	156	133	174
TRIM53AP	0	0	0	0	0	0	0	0
TRIM54	1	5	7	7	0	0	0	3
TRIM55	14	12	15	17	1	2	0	2
TRIM56	446	643	779	714	177	520	555	689
TRIM58	0	0	1	1	0	0	1	2
TRIM59	63	94	70	72	27	122	131	219
TRIM6	60	81	104	35	19	60	116	143
TRIM6-TRIM34	0	0	0	0	0	0	0	0
TRIM60	0	0	0	0	0	0	0	0
TRIM61	0	0	0	0	0	0	0	0
TRIM62	110	162	198	138	29	87	97	119
TRIM63	0	0	0	0	0	0	0	1
TRIM64	0	0	0	0	0	0	0	0
TRIM64B	0	0	0	0	0	0	0	0
TRIM64C	0	0	0	0	0	0	0	0
TRIM65	652	1230	1080	1196	296	732	1038	1100
TRIM66	50	55	107	66	19	45	38	49
TRIM67	15	15	62	30	1	8	10	14
TRIM68	204	314	341	286	96	218	325	368
TRIM69	5	1	3	1	0	0	0	0
TRIM7	133	202	231	254	85	152	183	206
TRIM71	0	0	1	0	0	0	3	0
TRIM72	0	1	1	0	0	0	0	0
TRIM73	2	4	9	7	0	1	1	2
TRIM74	19	19	36	34	0	3	6	6
TRIM77	0	0	0	0	0	0	0	0
TRIM8	1282	1795	2253	2053	276	603	804	1052
TRIM9	98	115	106	99	33	110	201	189
TRIML1	1	0	2	0	0	1	0	0
TRIML2	792	1011	1231	1000	240	658	764	1007
TRIO	1198	1530	2054	1694	497	1516	1857	2361
TRIOBP	1001	1223	1733	1581	369	817	889	1251
TRIP10	1959	2795	3539	3123	714	1517	1856	2328
TRIP11	179	216	341	226	73	203	264	311
TRIP12	416	658	698	449	284	803	828	1040
TRIP13	171	209	249	226	355	967	1141	1355
TRIP4	289	336	447	363	104	292	313	440
TRIP6	1003	1476	1932	1732	329	748	982	1318
TRIQK	11	37	35	26	25	49	33	51
TRIT1	105	145	172	185	51	204	191	232
TRMO	108	141	186	164	53	117	123	190
TRMT1	584	751	910	871	264	548	723	878
TRMT10A	15	21	5	11	14	41	22	32
TRMT10B	59	94	105	103	33	80	78	158
TRMT10C	93	100	207	142	49	163	143	191
TRMT11	44	79	120	74	28	90	81	95
TRMT112	3074	4202	5387	4950	1248	2682	3486	4457
TRMT12	96	158	158	157	35	122	158	249
TRMT13	7	17	38	8	1	15	14	21
TRMT1L	73	124	183	136	65	117	183	182
TRMT2A	364	513	660	675	147	372	404	531
TRMT2B	409	541	584	515	149	459	618	627
TRMT44	79	79	122	112	20	49	86	120
TRMT5	135	186	255	175	93	187	217	198
TRMT6	425	444	656	397	105	367	578	678
TRMT61A	488	634	1006	921	279	569	740	910
TRMT61B	67	96	120	106	49	67	138	173
TRMU	181	240	332	294	78	186	240	228
TRNAU1AP	135	189	289	193	54	166	227	249
TRNP1	1739	2463	2943	2627	915	2095	2555	3322
TRNT1	30	31	46	29	30	46	40	67
TRO	85	121	125	143	7	27	55	106
TROAP	90	99	146	126	175	529	607	773
TROVE2	30	35	56	27	16	55	33	39
TRPA1	2	1	6	10	2	21	10	13
TRPC1	22	15	24	19	7	31	11	22
TRPC2	0	0	0	1	0	0	0	0
TRPC3	0	0	0	0	0	0	0	0
TRPC4	0	1	0	0	0	0	0	0
TRPC4AP	1654	2314	3135	2583	624	1606	2103	2402
TRPC5	0	0	0	0	0	0	0	0
TRPC5OS	0	0	0	0	0	0	0	0
TRPC6	1	0	0	0	0	4	8	0
TRPC7	2	0	1	0	0	0	1	0
TRPC7-AS2	0	0	0	0	0	0	0	0
TRPM1	0	0	0	0	0	0	0	4
TRPM2	68	50	107	82	5	33	45	64
TRPM2-AS	4	2	5	2	0	4	5	9
TRPM3	0	1	4	0	0	0	0	0
TRPM4	327	485	576	582	99	173	262	281
TRPM5	0	0	0	0	1	0	0	0
TRPM6	49	59	115	43	9	73	70	100
TRPM7	40	57	97	55	50	75	91	112
TRPM8	5	13	22	6	3	7	2	5
TRPS1	0	1	3	0	1	0	3	0
TRPT1	382	525	658	592	77	192	294	343
TRPV1	178	234	319	234	46	163	177	231
TRPV2	7	12	26	17	0	8	9	14
TRPV3	5	5	6	6	0	1	3	8
TRPV4	1	0	3	0	1	1	1	1
TRPV5	0	0	0	0	0	0	0	1
TRPV6	1	0	0	1	0	0	1	0
TRRAP	983	1309	1815	1414	510	1328	1620	1982
TRUB1	66	51	140	58	40	78	92	137
TRUB2	1261	1694	2084	1978	397	1053	1346	1674
TRY2P	0	0	0	0	0	0	0	0
TSACC	37	38	85	29	3	24	52	55
TSC1	307	414	537	423	89	340	467	575
TSC2	1068	1462	1924	1787	414	970	1227	1587
TSC22D1	712	843	1375	945	208	680	857	1149
TSC22D1-AS1	2	1	0	5	3	4	0	5
TSC22D2	135	191	228	211	85	190	263	278
TSC22D3	186	273	395	347	106	254	295	381
TSC22D4	1009	1372	1954	1815	299	715	853	1127
TSEN15	162	246	248	200	63	186	311	256
TSEN2	78	166	189	163	86	195	208	250
TSEN34	1384	1940	2605	2426	648	1417	1740	2108
TSEN54	376	547	693	773	219	446	537	826
TSFM	489	667	691	743	208	494	592	779
TSG1	0	0	0	0	0	0	0	0
TSG101	949	992	1479	1063	185	688	716	1145
TSGA10	9	1	0	4	0	5	6	2
TSGA10IP	2	0	1	1	0	0	0	0
TSGA13	0	0	2	0	0	0	0	0
TSHB	0	0	0	0	0	0	0	0
TSHR	0	0	1	0	0	0	0	1
TSHZ1	124	156	253	177	54	235	228	294
TSHZ2	0	0	2	2	1	0	0	0
TSHZ3	77	86	155	138	20	119	95	118
TSIX	0	1	0	0	0	0	0	0
TSKS	1	1	2	4	1	0	1	1
TSKU	14712	19321	26674	22882	3529	9415	11802	14744
TSL	0	0	0	1	0	1	0	0
TSLP	0	0	0	0	0	0	1	0
TSN	339	381	571	401	194	441	491	677
TSNARE1	146	215	293	265	38	90	138	155
TSNAX	208	247	241	230	71	261	256	332
TSNAX-DISC1	0	0	0	0	0	0	1	0
TSNAXIP1	18	16	42	29	3	4	14	18
TSPAN1	38	83	56	43	4	20	10	23
TSPAN10	481	792	1158	1076	142	206	304	306
TSPAN11	2	2	6	5	0	4	2	5
TSPAN12	1	1	9	7	3	2	8	6
TSPAN13	67	85	84	60	33	57	75	88
TSPAN14	3478	4873	6342	5209	927	2644	3239	4203
TSPAN15	990	1478	1946	1685	410	1067	1409	1730
TSPAN16	0	0	0	0	0	0	0	0
TSPAN17	1113	1335	1872	1606	400	968	1176	1648
TSPAN18	195	222	249	233	33	101	126	184
TSPAN19	0	0	0	0	0	0	0	0
TSPAN2	3	15	12	15	4	7	16	10
TSPAN3	3189	4247	5264	4135	1558	3212	3755	4675
TSPAN31	283	404	458	319	59	204	189	188
TSPAN32	0	0	0	1	0	0	0	0
TSPAN33	321	373	479	455	71	199	253	353
TSPAN4	2176	2988	4292	3668	799	1738	2058	2756
TSPAN5	96	142	168	188	31	126	171	179
TSPAN6	368	340	556	319	60	238	301	394
TSPAN7	384	457	701	561	101	350	441	544
TSPAN8	0	0	0	0	0	0	0	0
TSPAN9	473	651	887	819	100	315	437	551
TSPEAR	2	3	6	3	0	3	4	1
TSPEAR-AS1	24	28	38	25	1	9	23	17
TSPEAR-AS2	3	7	16	12	2	18	11	13
TSPO	1253	1649	2411	2229	471	917	1278	1602
TSPO2	0	0	1	6	0	1	0	0
TSPY1	0	0	0	0	0	0	0	0
TSPY10	0	0	0	0	0	0	0	0
TSPY2	0	0	0	0	0	0	0	0
TSPY26P	2	1	2	0	0	1	6	1
TSPY3	0	0	0	0	0	0	0	0
TSPY4	0	0	0	0	0	0	0	0
TSPY8	0	0	0	0	0	0	0	0
TSPYL1	317	379	511	342	143	427	514	647
TSPYL2	294	328	517	391	77	172	252	239
TSPYL4	50	78	101	69	21	91	108	94
TSPYL5	163	252	293	231	87	308	331	386
TSPYL6	1	0	0	0	4	0	0	0
TSR1	645	835	901	808	322	1039	1161	1466
TSR2	784	1051	1142	1094	246	643	783	1067
TSR3	934	1257	1458	1655	527	926	1099	1460
TSSC1	771	1016	1504	1172	234	723	943	1165
TSSC2	3	1	4	2	0	0	1	5
TSSC4	611	858	1299	1143	219	523	733	792
TSSK1B	0	0	0	0	1	0	0	0
TSSK2	0	0	0	0	0	0	0	0
TSSK3	18	25	34	23	2	14	13	35
TSSK4	1	6	0	2	0	1	6	8
TSSK6	36	37	39	55	15	20	27	32
TST	742	1151	1440	1430	283	544	621	868
TSTA3	908	1228	1749	1543	289	844	954	1219
TSTD1	0	1	0	0	0	0	0	0
TSTD2	64	95	103	79	32	123	169	200
TSTD3	13	10	27	31	10	9	23	11
TTBK1	3	7	3	5	0	2	9	13
TTBK2	20	8	17	27	17	16	13	28
TTC1	998	1223	1582	1263	340	744	868	1080
TTC12	115	144	177	122	26	61	81	79
TTC13	73	98	83	71	56	82	114	148
TTC14	61	66	150	68	30	103	91	131
TTC16	0	1	3	3	0	1	0	1
TTC17	486	616	817	448	204	578	603	874
TTC19	150	187	246	219	78	191	231	202
TTC21A	27	35	34	47	14	25	25	40
TTC21B	33	48	56	54	26	36	39	90
TTC21B-AS1	0	0	0	0	0	0	0	0
TTC22	3	0	0	1	0	0	0	0
TTC23	220	395	465	394	94	237	277	448
TTC23L	0	6	0	4	0	1	2	0
TTC24	0	0	1	0	0	1	0	0
TTC25	49	45	59	31	2	31	41	48
TTC26	54	55	106	49	25	106	73	182
TTC27	96	111	171	139	59	188	149	225
TTC28	234	416	452	351	81	219	245	356
TTC28-AS1	4	10	6	6	7	12	8	8
TTC29	0	2	5	5	0	0	3	0
TTC3	652	953	1146	891	329	783	886	1241
TTC30A	45	34	54	45	16	51	54	57
TTC30B	23	24	38	23	9	30	30	25
TTC31	317	427	498	395	77	299	352	451
TTC32	15	29	35	23	6	21	27	30
TTC33	16	29	46	13	13	28	46	45
TTC34	0	0	0	0	0	0	0	0
TTC36	0	0	0	0	1	0	0	0
TTC37	129	176	298	117	144	247	234	296
TTC38	215	319	367	375	113	282	295	397
TTC39A	143	181	264	197	21	51	65	98
TTC39A-AS1	0	0	0	0	0	0	0	0
TTC39B	11	23	25	12	1	28	10	31
TTC39C	93	89	115	111	20	76	64	79
TTC39C-AS1	0	0	1	1	0	0	1	4
TTC3P1	28	30	47	34	11	21	34	23
TTC4	40	49	86	34	11	51	51	62
TTC41P	0	1	0	0	1	1	1	1
TTC5	158	168	241	164	55	152	203	229
TTC6	7	14	13	8	1	4	16	5
TTC7A	1065	1517	1856	1775	360	919	1163	1471
TTC7B	381	536	681	504	98	417	546	718
TTC8	296	414	634	385	99	357	449	483
TTC9	116	166	248	206	41	128	142	177
TTC9B	0	2	6	2	2	2	2	0
TTC9C	409	566	655	541	120	335	425	586
TTF1	211	300	319	262	102	253	272	318
TTF2	131	130	191	185	111	292	348	439
TTI1	484	568	815	595	195	623	617	858
TTI2	199	281	405	341	61	246	302	342
TTK	0	0	1	0	6	13	11	4
TTL	337	481	581	407	201	380	474	619
TTLL1	96	110	175	146	30	37	60	97
TTLL10	2	0	0	5	1	2	3	1
TTLL11	50	65	60	81	27	60	110	121
TTLL12	424	735	835	788	334	789	992	1152
TTLL13P	7	5	8	10	1	0	5	11
TTLL2	1	0	0	1	0	0	0	1
TTLL3	22	42	38	43	5	13	22	24
TTLL4	325	452	602	456	115	411	517	731
TTLL5	293	380	539	343	105	427	519	591
TTLL6	111	120	168	111	2	26	48	97
TTLL7	21	13	22	7	2	18	22	35
TTLL9	3	11	11	10	4	5	7	11
TTN	10	12	10	9	3	9	14	12
TTN-AS1	20	15	50	20	4	8	12	17
TTPA	10	4	4	6	4	6	13	11
TTPAL	254	319	416	320	97	210	348	443
TTR	4	2	3	3	0	0	1	1
TTTY1	0	0	0	0	0	0	0	0
TTTY10	0	0	0	0	0	0	0	0
TTTY11	0	0	0	0	0	0	0	0
TTTY12	0	0	0	0	0	0	0	0
TTTY13	0	0	0	0	0	0	0	0
TTTY14	0	2	0	1	0	2	1	2
TTTY15	18	15	8	23	4	35	18	43
TTTY16	0	0	0	0	0	0	0	0
TTTY17A	0	0	0	0	0	0	0	0
TTTY17B	0	0	0	0	0	0	0	0
TTTY17C	0	0	0	0	0	0	0	0
TTTY18	0	0	0	0	0	0	0	0
TTTY19	0	0	0	0	0	0	0	0
TTTY1B	0	0	0	0	0	0	0	0
TTTY2	0	0	0	0	0	0	0	0
TTTY20	0	0	0	0	0	0	0	0
TTTY21	0	0	0	0	0	0	0	0
TTTY21B	0	0	0	0	0	0	0	0
TTTY22	0	0	0	0	0	0	0	0
TTTY23	0	0	0	0	0	0	0	0
TTTY23B	0	0	0	0	0	0	0	0
TTTY2B	0	0	0	0	0	0	0	0
TTTY3	0	0	0	0	0	0	0	0
TTTY3B	0	0	0	0	0	0	0	0
TTTY4	0	0	0	0	0	0	0	0
TTTY4B	0	0	0	0	0	0	0	0
TTTY4C	0	0	0	0	0	0	0	0
TTTY5	0	0	0	0	0	0	0	0
TTTY6	0	0	0	0	0	0	0	0
TTTY6B	0	0	0	0	0	0	0	0
TTTY7	0	0	0	0	0	0	0	0
TTTY7B	0	0	0	0	0	0	0	0
TTTY8	0	0	0	0	0	0	0	0
TTTY8B	0	0	0	0	0	0	0	0
TTTY9A	0	0	0	0	0	0	0	0
TTTY9B	0	0	0	0	0	0	0	0
TTYH1	0	0	0	3	0	0	1	0
TTYH2	73	68	115	106	18	43	40	82
TTYH3	3913	5664	7900	6854	867	2361	3100	3566
TUB	140	162	229	169	81	353	355	458
TUB-AS1	0	0	0	0	0	0	0	1
TUBA1A	5169	6724	8559	6985	2658	6187	7776	8775
TUBA1B	7570	9450	11867	9901	7502	25690	30666	39120
TUBA1C	5587	7062	9130	7110	3996	11705	14646	18436
TUBA3C	0	0	0	0	0	0	0	0
TUBA3D	2	7	3	2	0	0	0	2
TUBA3E	1	0	1	1	0	0	0	0
TUBA3FP	7	4	15	9	5	16	14	14
TUBA4A	2804	3645	4852	3995	1178	3864	4836	6420
TUBA4B	57	86	79	75	39	42	84	94
TUBA8	21	18	14	16	0	3	2	10
TUBAL3	9	8	6	7	1	3	11	3
TUBB	201	188	261	215	131	447	435	728
TUBB1	0	3	0	2	1	5	2	9
TUBB2A	301	386	519	570	281	455	603	694
TUBB2B	222	303	370	476	225	335	436	498
TUBB3	3252	4277	6696	5389	2186	4821	6418	8190
TUBB4A	457	600	800	676	126	364	444	551
TUBB4B	3652	4839	6859	5539	2938	8379	10562	13323
TUBB6	1332	1743	2447	2123	731	1384	1711	2212
TUBB8	1	7	2	2	0	0	0	0
TUBBP5	32	64	58	94	43	56	108	142
TUBD1	34	23	62	26	21	60	38	75
TUBE1	13	22	26	23	9	26	23	41
TUBG1	1417	1729	2771	2055	681	2209	2680	3514
TUBG2	352	412	490	507	91	195	321	341
TUBGCP2	1392	1782	2741	2189	538	1467	2025	2449
TUBGCP3	83	117	176	131	72	251	277	346
TUBGCP4	77	105	147	105	46	125	160	222
TUBGCP5	177	254	341	237	130	293	319	467
TUBGCP6	279	480	453	486	103	198	355	402
TUFM	4843	6596	8531	7480	2004	5114	6326	8011
TUFT1	237	298	370	254	117	410	454	597
TUG1	197	251	329	293	171	338	277	411
TULP1	0	0	2	0	0	0	0	0
TULP2	1	0	5	3	0	1	0	4
TULP3	420	554	718	530	152	428	590	710
TULP4	155	209	246	180	50	142	211	270
TUNAR	1	0	0	0	0	0	0	0
TUSC1	169	188	276	282	63	124	156	172
TUSC2	594	949	1148	1040	210	443	608	714
TUSC3	370	423	654	467	235	430	495	613
TUSC5	0	0	0	1	0	0	4	0
TUSC7	0	0	0	0	0	0	0	0
TUSC8	0	0	0	1	0	0	0	4
TUT1	386	576	637	701	156	306	425	549
TVP23A	9	15	15	25	3	6	9	14
TVP23B	84	79	152	122	42	93	81	160
TVP23C	84	82	113	84	18	51	53	73
TVP23C-CDRT4	0	0	0	0	0	0	0	0
TWF1	91	115	153	102	95	124	119	172
TWF2	1433	2028	2564	2662	476	980	1423	1845
TWIST1	113	199	240	190	61	80	143	144
TWIST2	104	153	202	206	47	98	164	181
TWISTNB	87	119	160	108	42	112	153	160
TWSG1	167	188	219	233	49	240	235	330
TXK	0	0	0	0	0	3	2	0
TXLNA	1229	1637	2031	1734	341	1097	1390	1763
TXLNB	2	4	0	4	0	0	0	0
TXLNG	204	179	304	180	86	240	314	363
TXLNGY	8	23	18	31	1	24	24	50
TXN	7902	8924	13037	8856	2112	7822	9192	12485
TXN2	1016	1514	1825	1626	385	986	1298	1567
TXNDC11	367	651	727	673	210	459	576	725
TXNDC12	742	1029	1267	975	333	1038	1205	1496
TXNDC12-AS1	0	0	0	0	0	0	0	0
TXNDC15	530	776	916	758	171	509	566	697
TXNDC16	2	8	7	9	4	7	4	4
TXNDC17	584	827	1012	999	257	567	766	962
TXNDC2	5	1	0	0	0	0	0	0
TXNDC5	77	109	117	114	93	187	193	335
TXNDC8	0	0	0	0	0	0	0	0
TXNDC9	23	19	55	38	27	48	45	45
TXNIP	33	36	82	46	6	8	28	37
TXNL1	200	273	467	344	97	270	395	416
TXNL4A	640	819	1027	913	322	571	815	1058
TXNL4B	262	338	532	366	81	341	432	595
TXNRD1	9271	11340	16762	11130	4444	12906	15158	19231
TXNRD2	366	515	699	639	184	357	515	617
TXNRD3	31	57	53	45	17	44	53	36
TXNRD3NB	0	1	0	0	0	0	0	0
TYK2	666	906	1311	1196	280	749	868	1139
TYMP	358	520	739	753	85	146	211	244
TYMS	368	482	718	597	292	869	1007	1294
TYMSOS	39	93	116	107	19	25	24	62
TYR	0	0	0	0	0	0	0	0
TYRO3	134	223	333	274	66	255	348	519
TYRO3P	0	1	0	0	0	0	2	0
TYROBP	0	0	0	0	7	0	0	0
TYRP1	5	9	9	3	4	1	7	7
TYSND1	724	1038	1379	1184	348	788	940	1077
TYW1	263	299	491	345	110	368	481	506
TYW1B	52	60	72	45	11	36	65	56
TYW3	40	60	96	39	30	69	78	88
TYW5	61	49	108	74	15	54	71	95
U2AF1	1039	1200	1543	1315	517	1131	1409	1875
U2AF1L4	206	249	322	294	50	190	215	284
U2AF2	5273	7597	9258	7761	2989	6946	8710	11684
U2SURP	287	309	399	342	212	535	534	621
UACA	236	227	303	291	189	430	519	595
UAP1	96	126	183	129	73	158	184	230
UAP1L1	539	780	958	959	229	511	613	861
UBA1	7550	10109	12822	11300	2688	6524	8513	10441
UBA2	804	1164	1561	1034	758	1600	1763	2275
UBA3	62	98	104	88	54	103	131	125
UBA5	18	45	66	56	25	45	58	61
UBA52	7432	9627	11382	10804	2785	6248	7914	10538
UBA6	29	22	38	35	17	25	45	41
UBA6-AS1	94	84	223	89	31	93	87	162
UBA7	22	54	53	34	4	12	11	26
UBAC1	719	1024	1165	1162	358	835	1080	1457
UBAC2	917	1331	1865	1397	278	841	876	1135
UBAC2-AS1	18	19	21	16	2	4	20	27
UBALD1	721	959	1331	1267	355	654	709	969
UBALD2	496	623	870	838	262	544	721	940
UBAP1	1471	1833	2404	1958	327	1241	1400	1747
UBAP1L	2	4	7	6	4	2	12	3
UBAP2	692	1033	1375	982	278	999	1206	1452
UBAP2L	2905	3748	5079	3919	973	3772	4577	5604
UBASH3A	0	1	0	3	0	0	0	1
UBASH3B	201	280	406	279	156	496	528	679
UBB	32080	37900	42710	47903	10020	19629	27388	35878
UBC	15205	21445	25260	21555	4911	11133	14767	18543
